Iter  GoF  Param1  Param2  Param3  Param4  Param5  
1   5.7751488E+00  -3.0353894E-01   2.5756645E+00  -4.9318176E-01   3.0047603E-01  -2.2414083E+00  
2   5.7751488E+00  -3.0353894E-01   2.5756645E+00  -4.9318176E-01   3.0047603E-01  -2.2414083E+00  
3   5.7751488E+00  -3.0353894E-01   2.5756645E+00  -4.9318176E-01   3.0047603E-01  -2.2414083E+00  
4   5.7751488E+00  -3.0353894E-01   2.5756645E+00  -4.9318176E-01   3.0047603E-01  -2.2414083E+00  
5   2.6951762E+00  -1.5454002E+00   2.2380587E+00   6.3244711E-01   3.7165184E-01  -1.6135960E+00  
6   2.6951762E+00  -1.5454002E+00   2.2380587E+00   6.3244711E-01   3.7165184E-01  -1.6135960E+00  
7   2.6951762E+00  -1.5454002E+00   2.2380587E+00   6.3244711E-01   3.7165184E-01  -1.6135960E+00  
8   2.6951762E+00  -1.5454002E+00   2.2380587E+00   6.3244711E-01   3.7165184E-01  -1.6135960E+00  
9   2.6951762E+00  -1.5454002E+00   2.2380587E+00   6.3244711E-01   3.7165184E-01  -1.6135960E+00  
10   2.6496924E+00  -1.0000000E+01   7.0162017E+00   1.0098849E+00   4.6372859E-01  -1.2047261E+00  
11   2.6496924E+00  -1.0000000E+01   7.0162017E+00   1.0098849E+00   4.6372859E-01  -1.2047261E+00  
12   2.6496924E+00  -1.0000000E+01   7.0162017E+00   1.0098849E+00   4.6372859E-01  -1.2047261E+00  
13   2.6496924E+00  -1.0000000E+01   7.0162017E+00   1.0098849E+00   4.6372859E-01  -1.2047261E+00  
14   2.6496924E+00  -1.0000000E+01   7.0162017E+00   1.0098849E+00   4.6372859E-01  -1.2047261E+00  
15   2.6496924E+00  -1.0000000E+01   7.0162017E+00   1.0098849E+00   4.6372859E-01  -1.2047261E+00  
16   2.6496924E+00  -1.0000000E+01   7.0162017E+00   1.0098849E+00   4.6372859E-01  -1.2047261E+00  
17   2.6496924E+00  -1.0000000E+01   7.0162017E+00   1.0098849E+00   4.6372859E-01  -1.2047261E+00  
18   2.6496924E+00  -1.0000000E+01   7.0162017E+00   1.0098849E+00   4.6372859E-01  -1.2047261E+00  
19   2.5718186E+00  -1.0000000E+01   6.7699982E+00   6.9588995E-01   1.2356774E+00  -2.9468169E+00  
20   2.5718186E+00  -1.0000000E+01   6.7699982E+00   6.9588995E-01   1.2356774E+00  -2.9468169E+00  
21   2.5718186E+00  -1.0000000E+01   6.7699982E+00   6.9588995E-01   1.2356774E+00  -2.9468169E+00  
22   2.5718186E+00  -1.0000000E+01   6.7699982E+00   6.9588995E-01   1.2356774E+00  -2.9468169E+00  
23   2.5718186E+00  -1.0000000E+01   6.7699982E+00   6.9588995E-01   1.2356774E+00  -2.9468169E+00  
24   2.5718186E+00  -1.0000000E+01   6.7699982E+00   6.9588995E-01   1.2356774E+00  -2.9468169E+00  
25   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
26   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
27   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
28   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
29   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
30   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
31   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
32   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
33   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
34   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
35   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
36   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
37   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
38   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
39   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
40   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
41   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
42   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
43   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
44   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
45   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
46   2.2999327E+00  -2.2877191E+00   1.1412874E+00   6.3461453E-01   1.9351344E+00  -1.6869903E+00  
47   1.2702607E+00  -1.9713138E+00   9.8431201E-01   2.0363432E-01   1.9870923E+00  -1.8117826E+00  
48   1.0731899E+00  -1.5605241E+00   7.3017148E-01   2.3154164E-01   2.1692631E+00  -1.8657782E+00  
49   1.0731899E+00  -1.5605241E+00   7.3017148E-01   2.3154164E-01   2.1692631E+00  -1.8657782E+00  
50   1.0731899E+00  -1.5605241E+00   7.3017148E-01   2.3154164E-01   2.1692631E+00  -1.8657782E+00  
51   6.6931536E-01  -1.3380656E+00   5.1128280E-01   1.1789267E-01   2.3771495E+00  -1.9971731E+00  
52   6.6931536E-01  -1.3380656E+00   5.1128280E-01   1.1789267E-01   2.3771495E+00  -1.9971731E+00  
53   6.6931536E-01  -1.3380656E+00   5.1128280E-01   1.1789267E-01   2.3771495E+00  -1.9971731E+00  
54   6.6931536E-01  -1.3380656E+00   5.1128280E-01   1.1789267E-01   2.3771495E+00  -1.9971731E+00  
55   6.6931536E-01  -1.3380656E+00   5.1128280E-01   1.1789267E-01   2.3771495E+00  -1.9971731E+00  
56   5.9464165E-01  -1.4804413E+00   5.8358694E-01   1.5875614E-01   2.3414875E+00  -2.0303643E+00  
57   5.9464165E-01  -1.4804413E+00   5.8358694E-01   1.5875614E-01   2.3414875E+00  -2.0303643E+00  
58   5.9464165E-01  -1.4804413E+00   5.8358694E-01   1.5875614E-01   2.3414875E+00  -2.0303643E+00  
59   5.9464165E-01  -1.4804413E+00   5.8358694E-01   1.5875614E-01   2.3414875E+00  -2.0303643E+00  
60   5.9464165E-01  -1.4804413E+00   5.8358694E-01   1.5875614E-01   2.3414875E+00  -2.0303643E+00  
61   5.9464165E-01  -1.4804413E+00   5.8358694E-01   1.5875614E-01   2.3414875E+00  -2.0303643E+00  
62   5.8995538E-01  -1.5100820E+00   5.8204471E-01   1.5740815E-01   2.3383138E+00  -2.0138937E+00  
63   5.8995538E-01  -1.5100820E+00   5.8204471E-01   1.5740815E-01   2.3383138E+00  -2.0138937E+00  
64   5.8995538E-01  -1.5100820E+00   5.8204471E-01   1.5740815E-01   2.3383138E+00  -2.0138937E+00  
65   5.8995538E-01  -1.5100820E+00   5.8204471E-01   1.5740815E-01   2.3383138E+00  -2.0138937E+00  
66   5.8995538E-01  -1.5100820E+00   5.8204471E-01   1.5740815E-01   2.3383138E+00  -2.0138937E+00  
67   4.4936652E-01  -2.0647968E+00   6.1477180E-01   1.6149484E-01   2.1951273E+00  -2.4147363E+00  
68   4.4936652E-01  -2.0647968E+00   6.1477180E-01   1.6149484E-01   2.1951273E+00  -2.4147363E+00  
69   4.3933048E-01  -1.8233655E+00   6.1720892E-01   1.6396271E-01   1.8269097E+00  -1.7735930E+00  
70   4.0100104E-01  -1.9417542E+00   6.7458864E-01   1.5154709E-01   2.1842899E+00  -2.0354900E+00  
71   3.7055326E-01  -1.9650073E+00   6.8346480E-01   1.4885235E-01   2.1755045E+00  -2.0468640E+00  
72   3.5806921E-01  -1.9817809E+00   6.8986760E-01   1.4690852E-01   2.1691671E+00  -2.0550686E+00  
73   3.5806921E-01  -1.9817809E+00   6.8986760E-01   1.4690852E-01   2.1691671E+00  -2.0550686E+00  
74   3.5806921E-01  -1.9817809E+00   6.8986760E-01   1.4690852E-01   2.1691671E+00  -2.0550686E+00  
75   3.5806921E-01  -1.9817809E+00   6.8986760E-01   1.4690852E-01   2.1691671E+00  -2.0550686E+00  
76   3.5806921E-01  -1.9817809E+00   6.8986760E-01   1.4690852E-01   2.1691671E+00  -2.0550686E+00  
77   3.5171703E-01  -2.0298068E+00   6.9780653E-01   2.0651873E-01   2.1784693E+00  -2.0529207E+00  
78   3.5149598E-01  -1.9778288E+00   6.8713795E-01   1.5171566E-01   2.1724950E+00  -2.0549725E+00  
79   3.2947385E-01  -1.9714013E+00   6.8632974E-01   1.5162497E-01   2.1747210E+00  -2.0535926E+00  
80   3.2947385E-01  -1.9714013E+00   6.8632974E-01   1.5162497E-01   2.1747210E+00  -2.0535926E+00  
81   3.2947385E-01  -1.9714013E+00   6.8632974E-01   1.5162497E-01   2.1747210E+00  -2.0535926E+00  
82   3.2947385E-01  -1.9714013E+00   6.8632974E-01   1.5162497E-01   2.1747210E+00  -2.0535926E+00  
83   3.2947385E-01  -1.9714013E+00   6.8632974E-01   1.5162497E-01   2.1747210E+00  -2.0535926E+00  
84   3.2947385E-01  -1.9714013E+00   6.8632974E-01   1.5162497E-01   2.1747210E+00  -2.0535926E+00  
85   3.2947385E-01  -1.9714013E+00   6.8632974E-01   1.5162497E-01   2.1747210E+00  -2.0535926E+00  
86   3.2947385E-01  -1.9714013E+00   6.8632974E-01   1.5162497E-01   2.1747210E+00  -2.0535926E+00  
87   3.2947385E-01  -1.9714013E+00   6.8632974E-01   1.5162497E-01   2.1747210E+00  -2.0535926E+00  
88   3.2947385E-01  -1.9714013E+00   6.8632974E-01   1.5162497E-01   2.1747210E+00  -2.0535926E+00  
89   3.2947385E-01  -1.9714013E+00   6.8632974E-01   1.5162497E-01   2.1747210E+00  -2.0535926E+00  
90   3.1283409E-01  -2.1345736E+00   7.1205733E-01   2.4514383E-01   2.0173391E+00  -1.9036720E+00  
91   3.1283409E-01  -2.1345736E+00   7.1205733E-01   2.4514383E-01   2.0173391E+00  -1.9036720E+00  
92   3.1283409E-01  -2.1345736E+00   7.1205733E-01   2.4514383E-01   2.0173391E+00  -1.9036720E+00  
93   3.0147233E-01  -2.0187815E+00   6.7791197E-01   2.1140471E-01   2.1966719E+00  -2.0856796E+00  
94   3.0147233E-01  -2.0187815E+00   6.7791197E-01   2.1140471E-01   2.1966719E+00  -2.0856796E+00  
95   2.9612893E-01  -1.9789410E+00   6.7062633E-01   1.8505539E-01   2.1863644E+00  -2.0797470E+00  
96   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
97   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
98   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
99   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
100   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
101   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
102   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
103   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
104   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
105   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
106   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
107   2.7386953E-01  -1.9940908E+00   6.7046354E-01   2.0205005E-01   2.2013179E+00  -2.0782627E+00  
108   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
109   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
110   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
111   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
112   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
113   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
114   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
115   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
116   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
117   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
118   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
119   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
120   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
121   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
122   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
123   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
124   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
125   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
126   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
127   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
128   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
129   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
130   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
131   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
132   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
133   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
134   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
135   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
136   2.7220145E-01  -1.9898517E+00   6.7330572E-01   2.0025696E-01   2.2011748E+00  -2.0778388E+00  
137   2.7118390E-01  -1.9911623E+00   6.7253459E-01   1.9852223E-01   2.1985801E+00  -2.0784219E+00  
138   2.7118390E-01  -1.9911623E+00   6.7253459E-01   1.9852223E-01   2.1985801E+00  -2.0784219E+00  
139   2.7118390E-01  -1.9911623E+00   6.7253459E-01   1.9852223E-01   2.1985801E+00  -2.0784219E+00  
