GoF  Param1  Param2  Param3  Param4  Param5
 2.722015e-01  -1.995340e+00   6.758389e-01   2.010719e-01   2.200407e+00  -2.077291e+00
 2.711839e-01  -1.990720e+00   6.728760e-01   1.970850e-01   2.194717e+00  -2.075189e+00
 2.649692e+00  -1.000000e+01   7.016202e+00   1.009885e+00   4.637286e-01  -1.204726e+00
 2.711839e-01  -1.991764e+00   6.725358e-01   1.983857e-01   2.199039e+00  -2.079004e+00
 2.473096e+00  -9.463902e+00   5.120918e+00   1.513392e+00   4.637829e-01  -1.309366e+00
 2.722015e-01  -1.993445e+00   6.722852e-01   2.003952e-01   2.201806e+00  -2.076658e+00
 2.711839e-01  -1.990805e+00   6.729568e-01   1.985841e-01   2.197528e+00  -2.077009e+00
 2.571819e+00  -1.000000e+01   6.769998e+00   6.958900e-01   1.235677e+00  -2.946817e+00
 2.613487e+00  -5.788637e+00   3.152351e+00   6.440075e-01   9.767568e-01  -2.316759e+00
 2.609302e+00  -9.597247e+00   6.420178e+00   1.097532e+00   8.089322e-01  -2.487595e+00
 2.721624e+00  -7.876798e+00   3.489178e+00   1.081772e+00   1.761350e+00  -3.296523e+00
 2.722015e-01  -1.996001e+00   6.764794e-01   2.016508e-01   2.200730e+00  -2.076329e+00
 2.803605e-01  -1.988615e+00   6.630729e-01   1.839974e-01   2.165882e+00  -2.046611e+00
 2.558909e+00  -9.931446e+00   5.919462e+00   1.208353e+00   5.187434e-01  -1.407618e+00
 2.738695e-01  -1.992297e+00   6.697270e-01   2.002110e-01   2.202090e+00  -2.081412e+00
 2.711839e-01  -1.989733e+00   6.711834e-01   1.977662e-01   2.197350e+00  -2.077298e+00
 2.711839e-01  -1.976590e+00   6.619408e-01   1.933991e-01   2.186376e+00  -2.064786e+00
 2.711839e-01  -1.991391e+00   6.726230e-01   1.984201e-01   2.198653e+00  -2.077936e+00
 2.399859e+00  -9.610703e+00   4.985523e+00   1.391232e+00   4.764239e-01  -1.291651e+00
 3.040505e+00  -7.339078e+00   4.716143e+00  -5.989287e-01   7.997439e-01  -4.384712e-01
 2.711839e-01  -1.991162e+00   6.725346e-01   1.985222e-01   2.198580e+00  -2.078422e+00
 2.711839e-01  -1.989877e+00   6.737602e-01   1.993238e-01   2.196321e+00  -2.075137e+00
 5.442437e-01  -2.012353e+00   6.516412e-01   2.775001e-01   2.222571e+00  -1.972434e+00
 9.512071e-01  -2.925511e+00   9.499221e-01   3.085523e-01   1.536540e+00  -1.595101e+00
 2.711839e-01  -1.991569e+00   6.730811e-01   1.990325e-01   2.198562e+00  -2.078330e+00
 2.602393e+00  -6.790203e+00   3.541595e+00   6.943760e-01   1.217493e+00  -2.690969e+00
 2.711839e-01  -1.992647e+00   6.723168e-01   1.981610e-01   2.198395e+00  -2.078077e+00
 2.535715e+00  -9.798001e+00   6.418355e+00   1.073922e+00   3.042925e-01  -8.233362e-01
 2.711839e-01  -1.989063e+00   6.720237e-01   1.973936e-01   2.200295e+00  -2.078887e+00
 2.722015e-01  -2.001253e+00   6.797649e-01   2.029047e-01   2.206375e+00  -2.081638e+00
 2.711839e-01  -1.990421e+00   6.723262e-01   1.983274e-01   2.196875e+00  -2.075888e+00
 2.608916e+00  -1.000000e+01   6.915671e+00   9.679423e-01   9.776805e-01  -2.921045e+00
 2.711839e-01  -1.989190e+00   6.722791e-01   1.985194e-01   2.198990e+00  -2.079121e+00
 2.761061e-01  -2.018729e+00   6.050283e-01   1.946263e-01   2.068210e+00  -1.966343e+00
 2.658508e+00  -9.871889e+00   7.643104e+00   6.568474e-01   8.097954e-01  -2.404697e+00
 2.624023e+00  -9.512218e+00   7.235861e+00   7.693784e-01   5.983678e-01  -1.846489e+00
 2.722015e-01  -1.997628e+00   6.782140e-01   2.020733e-01   2.205369e+00  -2.080121e+00
 2.576265e+00  -1.000000e+01   6.649814e+00   9.769190e-01   1.080512e+00  -3.014059e+00
 2.711839e-01  -1.989578e+00   6.697164e-01   1.969497e-01   2.194970e+00  -2.073059e+00
 2.738695e-01  -1.992762e+00   6.666935e-01   2.042082e-01   2.188902e+00  -2.065320e+00
