Iter  Part  GoF  Model_Output  
1  1   7.6086833E+01   7.6086833E+01  
1  2   1.5635562E+02   1.5635562E+02  
1  3   1.1576192E+02   1.1576192E+02  
1  4   1.5635562E+02   1.5635562E+02  
1  5   1.5635562E+02   1.5635562E+02  
1  6   1.5635562E+02   1.5635562E+02  
1  7   1.5635562E+02   1.5635562E+02  
1  8   1.5635562E+02   1.5635562E+02  
1  9   1.5635562E+02   1.5635562E+02  
1  10   4.6065792E+02   4.6065792E+02  
1  11   1.5635562E+02   1.5635562E+02  
1  12   6.9910974E+00   6.9910974E+00  
1  13   1.5635562E+02   1.5635562E+02  
1  14   1.1369656E+03   1.1369656E+03  
1  15   1.7761503E+01   1.7761503E+01  
1  16   1.5635562E+02   1.5635562E+02  
1  17   1.5635562E+02   1.5635562E+02  
1  18   1.5635562E+02   1.5635562E+02  
1  19   1.5635562E+02   1.5635562E+02  
1  20   1.5635562E+02   1.5635562E+02  
1  21   9.7810924E+00   9.7810924E+00  
1  22   1.5635562E+02   1.5635562E+02  
1  23   1.5635562E+02   1.5635562E+02  
1  24   1.5635562E+02   1.5635562E+02  
1  25   1.0686258E+01   1.0686258E+01  
1  26   1.5635562E+02   1.5635562E+02  
1  27   2.0738873E+01   2.0738873E+01  
1  28   1.5635562E+02   1.5635562E+02  
1  29   5.7751488E+00   5.7751488E+00  
1  30   1.5635562E+02   1.5635562E+02  
1  31   1.5635562E+02   1.5635562E+02  
1  32   1.5635562E+02   1.5635562E+02  
1  33   1.5635562E+02   1.5635562E+02  
1  34   1.5635562E+02   1.5635562E+02  
1  35   1.5635562E+02   1.5635562E+02  
1  36   1.5635562E+02   1.5635562E+02  
1  37   1.5635562E+02   1.5635562E+02  
1  38   1.5635562E+02   1.5635562E+02  
1  39   5.4782428E+01   5.4782428E+01  
1  40   1.5635562E+02   1.5635562E+02  
2  1   1.5635562E+02   1.5635562E+02  
2  2   1.5635562E+02   1.5635562E+02  
2  3   1.5635562E+02   1.5635562E+02  
2  4   1.5635562E+02   1.5635562E+02  
2  5   3.8670151E+01   3.8670151E+01  
2  6   2.5025678E+01   2.5025678E+01  
2  7   1.5635562E+02   1.5635562E+02  
2  8   1.5635562E+02   1.5635562E+02  
2  9   5.0075920E+01   5.0075920E+01  
2  10   1.5635562E+02   1.5635562E+02  
2  11   1.9882053E+01   1.9882053E+01  
2  12   1.5635562E+02   1.5635562E+02  
2  13   5.8862707E+00   5.8862707E+00  
2  14   2.8332612E+01   2.8332612E+01  
2  15   1.5635562E+02   1.5635562E+02  
2  16   9.1154382E+00   9.1154382E+00  
2  17   1.5635562E+02   1.5635562E+02  
2  18   1.1728655E+01   1.1728655E+01  
2  19   1.5635562E+02   1.5635562E+02  
2  20   1.5635562E+02   1.5635562E+02  
2  21   1.5635562E+02   1.5635562E+02  
2  22   1.5635562E+02   1.5635562E+02  
2  23   1.5635562E+02   1.5635562E+02  
2  24   1.5635562E+02   1.5635562E+02  
2  25   1.5635562E+02   1.5635562E+02  
2  26   6.3518672E+00   6.3518672E+00  
2  27   1.5635562E+02   1.5635562E+02  
2  28   1.5635562E+02   1.5635562E+02  
2  29   1.5635562E+02   1.5635562E+02  
2  30   1.5635562E+02   1.5635562E+02  
2  31   1.5635562E+02   1.5635562E+02  
2  32   1.5635562E+02   1.5635562E+02  
2  33   1.5635562E+02   1.5635562E+02  
2  34   1.5635562E+02   1.5635562E+02  
2  35   1.5635562E+02   1.5635562E+02  
2  36   1.5635562E+02   1.5635562E+02  
2  37   2.7228409E+01   2.7228409E+01  
2  38   1.0835112E+01   1.0835112E+01  
2  39   1.5635562E+02   1.5635562E+02  
2  40   8.9338867E+01   8.9338867E+01  
3  1   1.5635562E+02   1.5635562E+02  
3  2   9.0304958E+00   9.0304958E+00  
3  3   1.5635562E+02   1.5635562E+02  
3  4   3.5518520E+01   3.5518520E+01  
3  5   2.4684298E+01   2.4684298E+01  
3  6   1.0810545E+01   1.0810545E+01  
3  7   1.5635562E+02   1.5635562E+02  
3  8   1.5635562E+02   1.5635562E+02  
3  9   1.5635562E+02   1.5635562E+02  
3  10   1.5635562E+02   1.5635562E+02  
3  11   5.9404373E+01   5.9404373E+01  
3  12   1.5635562E+02   1.5635562E+02  
3  13   1.9639127E+02   1.9639127E+02  
3  14   2.3848889E+01   2.3848889E+01  
3  15   2.2063510E+01   2.2063510E+01  
3  16   1.5635562E+02   1.5635562E+02  
3  17   8.6283484E+00   8.6283484E+00  
3  18   2.3765282E+01   2.3765282E+01  
3  19   1.2069291E+02   1.2069291E+02  
3  20   1.5635562E+02   1.5635562E+02  
3  21   1.5635562E+02   1.5635562E+02  
3  22   1.5635562E+02   1.5635562E+02  
3  23   1.5635562E+02   1.5635562E+02  
3  24   1.4053253E+01   1.4053253E+01  
3  25   1.5635562E+02   1.5635562E+02  
3  26   1.5635562E+02   1.5635562E+02  
3  27   1.5635562E+02   1.5635562E+02  
3  28   1.5635562E+02   1.5635562E+02  
3  29   1.5635562E+02   1.5635562E+02  
3  30   1.5635562E+02   1.5635562E+02  
3  31   1.5635562E+02   1.5635562E+02  
3  32   2.2117078E+01   2.2117078E+01  
3  33   4.0909121E+01   4.0909121E+01  
3  34   8.3865610E+00   8.3865610E+00  
3  35   1.5635562E+02   1.5635562E+02  
3  36   1.5635562E+02   1.5635562E+02  
